MB_urchin,MB_echin,MB_Molls,SPC,RC_IND_2018,KW_Jap,RMI_bik_02_03,RMI_jp_10,RMI_09_10,RMI_ail,RMI_Ailk_06,LTO,RLS,RC_EST,RC_IND,RC_ATL,RC_HAW,RC_RED,RC_ARB,NOAA_PR_1999_2003,NOAA_PR_2004_2013,NOAA_PR_2013_2018,NOAA_MMT,NOAA_NA11,CCC_P,ECOT,NOAA_Fen_08,CCC_C,CCC_M
cucumber- 8-3-10_t3_24-26 cuc(1) -H. atra in Guide to Moreton Bay p154 - prob misnamed,Comanthus alternans,,Anadara scapha,Pencil urchin,Calcinus seurati,"spiky sea cuke, H.ananas",trochus,trochus,Octopus,Pencil urchin,,,,,,,,triton,Echinometra viridis,Echinometra viridis,Echinometra viridis,Gomphoria,Gomphoria,Nudibranch,"Drupella snails (Drupella spp.,0, >0-10, >10-100, >100-1000)",Phyllidia,Octopus,
Culcita novaeguineae,Comanthus gisleni,,Anadara sp.,Queen Conch,Caridea sp.,"giant sea cuke, H. anax",triton,triton,ECHINODERMS,"black-pink sea cuke,  H. edulis",,,,,,,,,Eucidaris tribuloides,Eucidaris tribuloides,Eucidaris tribuloides,Holothuria edulis,Holothuria edulis,Other Gastropods,Conch (Cassis spp.),spider conch,Cuttlefish,
"Dark/purple urchin with bunches of white spines (P1000918, 271)",Comanthus parvicirrus,,Arca sp.,Sea fan,Ceraesignum maximum,Crown-of-thorns ,tiger cowrie,tiger cowrie,Long-spined black s.u.,"black sea cuke, H. atra",,,,,,,,,Gastropoda spp. ,Gastropoda spp. ,Gastropoda spp. ,Holothuria nobolis,Holothuria nobolis,Octopus,Cowrie (Cypraea spp.),strombid,Squid,
dendrochirotes cucumber (buried with feeding tentacles visable),Comanthus suavia,,Arca ventricosa,Short spine urchin,Cerithium columna,Cushion star - Culcita,"P. bispinosa longipes (striped legs, pink antennae base)","P. bispinosa longipes (striped legs, pink antennae base)",Pencil urchin,"spiky sea cuke, H.ananas",,,,,,,,,Grapsus spp.  ,Grapsus spp.  ,Grapsus spp.  ,Holothuria atra,Holothuria atra,Cuttlefish,Varicose wart-slug (Phyllidia varicosa),vermatids,COTS,
Diadema savignyi,Comanthus wahlbergii,,Archaster typicus,Slate pencil urchin,Cerithium lifuense,"skinny star, Linckia",P. versicolor,P. versicolor,"black-pink sea cuke,  H. edulis","giant sea cuke, H. anax",,,,,,,,,Holothuria (Halodeima) mexicana,Holothuria (Halodeima) mexicana,Holothuria (Halodeima) mexicana,Total Genus Holothuria,Total Genus Holothuria,Squid,Dotted nudibranch (Jorunna funebris),giant clam,Chocolate-chip Seastar,
Diadema setosum,Comaster nobilis,,Asaphis violascens,Spider crab,Charybdis japonica,chocolate chip  - Protoreaster,P. pencillatus,P. pencillatus,"black sea cuke, H. atra",Crown-of-thorns ,,,,,,,,,Isostichopus badionotus,Isostichopus badionotus,Isostichopus badionotus,Total Genus Pearsonathuria,Total Genus Pearsonathuria,Acanthaster planci,Nudibranchs (Other),snail,Cushion Star,
Diadema sp.,Condrocidaris brevispina,,Astralium sp.,Tripneustes,Chelidonura amoena,,COTS,COTS,"spiky sea cuke, H.ananas",Cushion star - Culcita,,,,,,,,,Lobatus gigas,Lobatus gigas,Lobatus gigas,Stichopus chloronotus,Stichopus chloronotus,Blue Linkia,Flatworms (All Platyhelminthes),clam in coral,Feather Star,
Echinaster callosus,Diadema savignii,,Atergatis floridus,Triton,Chicoreus brunneus,,pincushion,pincushion,"giant sea cuke, H. anax","skinny star, Linckia",,,,,,,,,Octopus vulgaris,Octopus vulgaris,Octopus vulgaris,Stichopus horrens,Stichopus horrens,Granulated Seastar,Banded boxer shrimps (Stenopus hispidus),Echinoderms,Long Spine Sea Urchin,
Echinaster luzonicus,Diadema savignyi,,Atrina sp.,Trochus,Chicoreus ramosus,,,,Crown-of-thorns ,chocolate chip  - Protoreaster,,,,,,,,,Ophioderma spp.  ,Ophioderma spp.  ,Ophioderma spp.  ,Actinopyga mauritiana,Actinopyga mauritiana,Cushion Star,,crown-of-thorns,Pencil Urchin,
Echinaster varicolor,Diadema savingii,,Atrina vexillum,,Chicoreus strigatus,,,,Cushion star - Culcita,Diamonds,,,,,,,,,Ophiothrix (Acanthophiothrix) suensoni,Ophiothrix (Acanthophiothrix) suensoni,Ophiothrix (Acanthophiothrix) suensoni,Actinopyga miliaris,Actinopyga miliaris,Feather Star ,,Echinometra,Collector Urchin,
Echinometra mathaei,Diadema setosum,,Barbatia sp.,,Chromodoris colemani,,,,"skinny star, Linckia",,,,,,,,,,Paguristes spp.  ,Paguristes spp.  ,Paguristes spp.  ,Total Genus Bohadschia,Total Genus Bohadschia,Brittle Star,,Echinostrephus,Prickly Redfish Sea Cucumber,
